title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Palermo – Hotel Pension Panormus,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,390,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (390),CC BY SA 4.0,"Hotel Panormus, Palermo",Palermo,43542130060
Palermo - Grand Hotel des Palmes,"G. Incorpora, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,389,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (389),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542130340
Grand Hotel des Palmes – Palerme,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,387,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (387),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542130820
Grand Hotel des Palmes – Palerme,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,386,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (386),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542131000
Palermo – Grand Hotel des Palmes – Salle à Manger,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,384,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (384),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542131510
Palermo - Salone dell'Hotel des Palmes,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,383,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (383),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542131780
Palermo - Hotel des Palmes,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,382,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (382),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542131990
Palermo - Hotel des Palmes,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,381,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (381),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542132190
Palermo - Hotel des Palmes,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,380,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (380),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542132410
Palermo - Via Stabile e Hotel des Palmes,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,375,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (375),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542133750
Palermo -  Grand Hotel des Palmes,"G. Incorpora, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,372,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (372),CC BY SA 4.0,"Grand Hotel delle Palme, Palermo",Palermo,43542134260
Palermo -  Hotel Trinacria - L'ascenseur eletrique,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,370,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (370),CC BY SA 4.0,"Hotel Trinacria, Palermo",Palermo,43542134690
Palermo -  Hotel Trinacria - Sala di lettura,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,369,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (369),CC BY SA 4.0,"Hotel Trinacria, Palermo",Palermo,43542134880
